timestamp,sku,stage,elapsed_seconds,details
2026-08-19 15:12:33.110,001620-705,REGISTER_PRODUCT START,,
2026-08-19 15:12:33.111,001620-705,REGISTER_PRODUCT fill_form START,,
2026-08-19 15:14:24.928,001620-705,REGISTER_PRODUCT fill_form ERROR,111.816,"Exception: Could not find generated variant rows for sizes: 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56"
2026-08-19 15:14:27.833,001489-115,REGISTER_PRODUCT START,,
2026-08-19 15:14:27.834,001489-115,REGISTER_PRODUCT fill_form START,,
2026-08-19 15:16:34.576,001489-115,REGISTER_PRODUCT fill_form ERROR,126.741,"Exception: Could not find generated variant rows for sizes: 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56"
2026-08-19 22:50:52.013,,SAVE_RESULT wait START,,timeout=1; original_url=https://luxeoverhemden.nl/admin/catalog/product/new/
2026-08-19 22:50:52.014,,SAVE_RESULT current_url START,,
2026-08-19 22:50:52.014,,SAVE_RESULT current_url END,0.000,https://luxeoverhemden.nl/admin/catalog/product/edit/id/123/
2026-08-19 22:50:52.015,,SAVE_RESULT saved_by_url,,original_url=https://luxeoverhemden.nl/admin/catalog/product/new/; current_url=https://luxeoverhemden.nl/admin/catalog/product/edit/id/123/
2026-08-19 22:50:52.016,,SAVE_RESULT wait END,0.002,result=saved
2026-08-19 22:50:52.017,,DRAIN LOGS save-result-saved START,,
2026-08-19 22:50:52.018,,DRAIN LOGS save-result-saved END,0.000,browser_log_error=AttributeError: 'FakeDriver' object has no attribute 'get_log'; performance_log_error=AttributeError: 'FakeDriver' object has no attribute 'get_log'
2026-08-19 22:50:52.019,,SAVE_RESULT wait START,,timeout=1; original_url=https://luxeoverhemden.nl/admin/catalog/product/new/
2026-08-19 22:50:52.020,,SAVE_RESULT current_url START,,
2026-08-19 22:50:52.021,,SAVE_RESULT current_url END,0.000,https://luxeoverhemden.nl/admin/catalog/product/new/
2026-08-19 22:50:52.022,,SAVE_RESULT error_messages START,,
2026-08-19 22:50:52.022,,SAVE_RESULT error_messages ERROR,0.000,ReadTimeoutError: None: driver did not respond
2026-08-19 22:50:52.023,,SAVE_RESULT driver_timeout,,
2026-08-19 22:50:52.026,,SAVE_RESULT wait END,0.004,result=driver_timeout
2026-08-19 22:50:52.027,,DRAIN LOGS save-result-driver_timeout START,,
2026-08-19 22:50:52.028,,DRAIN LOGS save-result-driver_timeout END,0.000,browser_log_error=AttributeError: 'FakeDriver' object has no attribute 'get_log'; performance_log_error=AttributeError: 'FakeDriver' object has no attribute 'get_log'
2026-08-19 22:51:05.107,,SAVE_RESULT wait START,,timeout=1; original_url=https://luxeoverhemden.nl/admin/catalog/product/new/
2026-08-19 22:51:05.109,,SAVE_RESULT current_url START,,
2026-08-19 22:51:05.110,,SAVE_RESULT current_url END,0.000,https://luxeoverhemden.nl/admin/catalog/product/edit/id/123/
2026-08-19 22:51:05.111,,SAVE_RESULT saved_by_url,,original_url=https://luxeoverhemden.nl/admin/catalog/product/new/; current_url=https://luxeoverhemden.nl/admin/catalog/product/edit/id/123/
2026-08-19 22:51:05.112,,SAVE_RESULT wait END,0.003,result=saved
2026-08-19 22:51:05.113,,DRAIN LOGS save-result-saved START,,
