144321500-900, Lila, ('LABEL_SELECT', 'Kleuren')
126131951-100, Onregelmatigheid, ('xpath', "//select[@name='product[materiaal]']//option[@data-title='{}']")
226110410-100, Structuur, ('xpath', "//select[@name='product[materiaal]']//option[@data-title='{}']")
226111040-000, Structuur, ('xpath', "//select[@name='product[materiaal]']//option[@data-title='{}']")
226111040-304, Structuur, ('xpath', "//select[@name='product[materiaal]']//option[@data-title='{}']")
183116400-100, 88% katoen / 12% elastaan, ('xpath', "//option[@data-title='{}']")
183116400-116, 88% katoen / 12% elastaan, ('xpath', "//option[@data-title='{}']")
183116400-700, 88% katoen / 12% elastaan, ('xpath', "//option[@data-title='{}']")
Missing 60 % Baumwolle, 40 % Polyester
154517000-100, Geruit, ('xpath', "//option[@data-title='{}']")
226110250-100, Structuur, ('xpath', "//select[@name='product[materiaal]']//option[@data-title='{}']")
123942400-100, Geruit, ('xpath', "//option[@data-title='{}']")
123942400-101, Geruit, ('xpath', "//option[@data-title='{}']")
123942400-400, Geruit, ('xpath', "//option[@data-title='{}']")
123942400-750, Geruit, ('xpath', "//option[@data-title='{}']")
001889-116, Venti blauw twill, ('name', 'product[name]')
001889-700, Venti zilver twill, ('name', 'product[name]')
123942202-705, Venti zilver popeline, ('name', 'product[name]')
123942202-117, Venti blauw popeline, ('name', 'product[name]')
002580-116, Venti blauw twill, ('name', 'product[name]')
007580-002, Venti wit twill, ('name', 'product[name]')
001680-116, Venti blauw twill, ('name', 'product[name]')
001680-700, Venti zilver twill, ('name', 'product[name]')
001680-002, Venti wit twill, ('name', 'product[name]')
001680-100, Venti blauw twill, ('name', 'product[name]')
