"ArtikelNr","Fb","Größe","GTIN/EAN","quantity"
"46201023","0","os","4064813761998","0"
"46151123","0","os","4064813761981","0"
"44201023","0","os","4064813761974","0"
"16201023","0","os","4064813761967","0"
"534170900","300","os","4064813725822","0"
"534170800","300","os","4064813725815","0"
"534170700","300","os","4064813725808","0"
"534170600","300","os","4064813725792","0"
"534170500","300","os","4064813725785","0"
"834160700","100","50","4064813725778","0"
"834160700","100","48","4064813725754","0"
"834160700","100","46","4064813725730","0"
"834160700","100","44","4064813725716","0"
"834160600","002","50","4064813725709","0"
"834160600","002","48","4064813725686","0"
"834160600","002","46","4064813725662","0"
"834160600","002","44","4064813725648","0"
"634162200","800","47","4064813725631","0"
"634162200","800","46","4064813725624","0"
"634162200","800","45","4064813725617","0"
"634162200","800","44","4064813725600","0"
"634162200","800","43","4064813725594","0"
"634162200","800","42","4064813725587","0"
"634162200","800","41","4064813725570","0"
"634162200","800","40","4064813725563","0"
"634162200","800","39","4064813725556","0"
"634162200","800","38","4064813725549","0"
"634162200","000","47","4064813725532","0"
"634162200","000","46","4064813725525","0"
"634162200","000","45","4064813725518","0"
"634162200","000","44","4064813725501","0"
"634162200","000","43","4064813725495","0"
"634162200","000","42","4064813725488","0"
"634162200","000","41","4064813725471","0"
"634162200","000","40","4064813725464","0"
"634162200","000","39","4064813725457","0"
"634162200","000","38","4064813725440","0"
"634162100","000","48","4064813725433","0"
"634162100","000","47","4064813725426","0"
"634162100","000","46","4064813725419","0"
"634162100","000","45","4064813725402","0"
"634162100","000","44","4064813725396","0"
"634162100","000","43","4064813725389","0"
"634162100","000","42","4064813725372","0"
"634162100","000","41","4064813725365","0"
"634162100","000","40","4064813725358","0"
"634162100","000","39","4064813725341","0"
"634143600","100","45","4064813725303","0"
"634143600","100","44","4064813725297","0"
"634143600","100","43","4064813725280","0"
"634143600","100","42","4064813725273","0"
"634143600","100","41","4064813725266","0"
"634143600","100","40","4064813725259","0"
"634143600","100","39","4064813725242","0"
"634143500","101","45","4064813725167","0"
"634143500","101","44","4064813725150","0"
"634143500","101","43","4064813725143","0"
"634143500","101","42","4064813725136","0"
"634143500","101","41","4064813725129","0"
"634143500","101","40","4064813725112","0"
"634143500","101","39","4064813725105","0"
"634143400","100","45","4064813725020","0"
"634143400","100","44","4064813725013","0"
"634143400","100","43","4064813725006","0"
"634143400","100","42","4064813724993","0"
"634143400","100","41","4064813724986","0"
"634143400","100","40","4064813724979","0"
"634143400","100","39","4064813724962","0"
"634143300","000","45","4064813724887","0"
"634143300","000","44","4064813724870","0"
"634143300","000","43","4064813724863","0"
"634143300","000","42","4064813724856","0"
"634143300","000","41","4064813724849","0"
"634143300","000","40","4064813724832","0"
"634143300","000","39","4064813724825","0"
"634143200","101","45","4064813724740","0"
"634143200","101","44","4064813724733","0"
"634143200","101","43","4064813724726","0"
"634143200","101","42","4064813724719","0"
"634143200","101","41","4064813724702","0"
"634143200","101","40","4064813724696","0"
"634143200","101","39","4064813724689","0"
"634143100","100","45","4064813724467","0"
"634143100","100","44","4064813724450","0"
"634143100","100","43","4064813724443","0"
"634143100","100","42","4064813724436","0"
"634143100","100","41","4064813724429","0"
"634143100","100","40","4064813724412","0"
"634143100","100","39","4064813724405","0"
"634143000","000","45","4064813724320","0"
"634143000","000","44","4064813724313","0"
"634143000","000","43","4064813724306","0"
"634143000","000","42","4064813724290","1"
"634143000","000","41","4064813724283","0"
"634143000","000","40","4064813724276","1"
"634143000","000","39","4064813724269","0"
"634142900","100","45","4064813724184","0"
"634142900","100","44","4064813724177","0"
"634142900","100","43","4064813724160","0"
"634142900","100","42","4064813724153","1"
"634142900","100","41","4064813724146","0"
"634142900","100","40","4064813724139","0"
"634142900","100","39","4064813724122","0"
"434157900","100","XL","4064813724078","0"
"434157900","100","L","4064813724061","0"
"434157900","100","M","4064813724054","0"
