"ArtikelNr","Fb","Größe","GTIN/EAN","quantity"
"154540009","200","48","4069188245029","0"
"154540009","200","47","4069188245012","0"
"154540009","200","46","4069188245005","0"
"154540009","200","45","4069188244992","0"
"154540009","200","44","4069188244985","0"
"154540009","200","43","4069188244978","0"
"154540009","200","42","4069188244961","0"
"154540009","200","41","4069188244954","0"
"154540009","200","40","4069188244947","0"
"154540009","200","39","4069188244930","0"
"154540009","100","48","4069188244916","0"
"154540009","100","47","4069188244909","0"
"154540009","100","46","4069188244893","0"
"154540009","100","45","4069188244886","0"
"154540009","100","44","4069188244879","0"
"154540009","100","43","4069188244862","0"
"154540009","100","42","4069188244855","0"
"154540009","100","41","4069188244848","0"
"154540009","100","40","4069188244831","0"
"154540009","100","39","4069188244824","0"
"154540009","001","48","4069188244800","0"
"154540009","001","47","4069188244794","0"
"154540009","001","46","4069188244787","0"
"154540009","001","45","4069188244770","0"
"154540009","001","44","4069188244763","1"
"154540009","001","43","4069188244756","1"
"154540009","001","42","4069188244749","0"
"154540009","001","41","4069188244732","1"
"154540009","001","40","4069188244725","0"
"154540009","001","39","4069188244718","1"
"154540009","000","48","4069188244695","0"
"154540009","000","47","4069188244688","0"
"154540009","000","46","4069188244671","0"
"154540009","000","45","4069188244664","0"
"154540009","000","44","4069188244657","1"
"154540009","000","43","4069188244640","1"
"154540009","000","42","4069188244633","0"
"154540009","000","41","4069188244626","0"
"154540009","000","40","4069188244619","0"
"154540009","000","39","4069188244602","1"
"354539802","100","50","4069188244541","0"
"354539802","100","49","4069188244534","0"
"354539802","100","48","4069188244527","0"
"354539802","100","47","4069188244510","0"
"354539802","100","46","4069188244503","0"
"354539802","100","45","4069188244497","0"
"354539802","100","44","4069188244480","1"
"354539802","100","43","4069188244473","1"
"354539802","100","42","4069188244466","0"
"354539802","100","41","4069188244459","0"
"354539802","100","40","4069188244442","0"
"354539802","100","39","4069188244435","0"
"354539802","001","50","4069188244374","0"
"354539802","001","49","4069188244367","0"
"354539802","001","48","4069188244350","0"
"354539802","001","47","4069188244343","0"
"354539802","001","46","4069188244336","0"
"354539802","001","45","4069188244329","0"
"354539802","001","44","4069188244312","1"
"354539802","001","43","4069188244305","1"
"354539802","001","42","4069188244299","0"
"354539802","001","41","4069188244282","0"
"354539802","001","40","4069188244275","0"
"354539802","001","39","4069188244268","0"
"354539802","000","50","4069188244206","0"
"354539802","000","49","4069188244190","0"
"354539802","000","48","4069188244183","0"
"354539802","000","47","4069188244176","0"
"354539802","000","46","4069188244169","0"
"354539802","000","45","4069188244152","1"
"354539802","000","44","4069188244145","1"
"354539802","000","43","4069188244138","1"
"354539802","000","42","4069188244121","0"
"354539802","000","41","4069188244114","0"
"354539802","000","40","4069188244107","0"
"354539802","000","39","4069188244091","0"
"354539709","100","50","4069188244039","0"
"354539709","100","49","4069188244022","0"
"354539709","100","48","4069188244015","0"
"354539709","100","47","4069188244008","0"
"354539709","100","46","4069188243995","0"
"354539709","100","45","4069188243988","0"
"354539709","100","44","4069188243971","1"
"354539709","100","43","4069188243964","1"
"354539709","100","42","4069188243957","0"
"354539709","100","41","4069188243940","0"
"354539709","100","40","4069188243933","0"
"354539709","100","39","4069188243926","0"
"354539709","001","50","4069188243865","0"
"354539709","001","49","4069188243858","0"
"354539709","001","48","4069188243841","0"
"354539709","001","47","4069188243834","1"
"354539709","001","46","4069188243827","0"
"354539709","001","45","4069188243810","0"
"354539709","001","44","4069188243803","1"
"354539709","001","43","4069188243797","1"
"354539709","001","42","4069188243780","0"
"354539709","001","41","4069188243773","0"
"354539709","001","40","4069188243766","0"
"354539709","001","39","4069188243759","1"
"354539709","000","50","4069188243698","0"
"354539709","000","49","4069188243681","0"
"354539709","000","48","4069188243674","0"
"354539709","000","47","4069188243667","0"
"354539709","000","46","4069188243650","0"
"354539709","000","45","4069188243643","0"
"354539709","000","44","4069188243636","1"
"354539709","000","43","4069188243629","0"
"354539709","000","42","4069188243612","0"
"354539709","000","41","4069188243605","0"
"354539709","000","40","4069188243599","0"
"354539709","000","39","4069188243582","0"
"154540102","400","48","4069188243568","0"
"154540102","400","47","4069188243551","0"
"154540102","400","46","4069188243544","1"
"154540102","400","45","4069188243537","0"
"154540102","400","44","4069188243520","1"
"154540102","400","43","4069188243513","1"
"154540102","400","42","4069188243506","0"
"154540102","400","41","4069188243490","1"
"154540102","400","40","4069188243483","1"
"154540102","400","39","4069188243476","0"
