ID,Thumbnail,Name,Type,"Attribute Set",SKU,Price,"Quantity per Source","Salable Quantity",Visibility,Status,Websites,Maattabel,Maat,"Kraag type",Pasvorm,Mouwlengte,"Default Original Qty",Eigenschappen,Materiaal,Borstzak,EAN,Capsule,Samenstelling,Duurzaamheid,"Marketing label","Creation Date"
3859," -","Venti lichtblauw ruit-45","Simple Product",Default,001340-100-45,€64.99,"Default Source: 1, Default Original: 0, Supplier Stock: 0","Default Stock: 1, Supplier Stock: 0","Not Visible Individually",Enabled,"Luxe Overhemden","Venti modern fit overhemden",45,Kent,"Modern fit","Lange mouw (normaal)",0,Strijkvrij,Katoen," -",4051233090197," -"," -"," -"," -","2020-08-27 19:22:40"
3860,https://luxeoverhemden.nl/pub/media/catalog/product/cache/5305a1c08aa32960237ca049a26b1613/0/0/001340-100-2-_overhemden-venti-modern-fit-blauw-wit-geruit-overhemd-100_-katoen-strijkvrij.jpg,"Venti lichtblauw ruit","Configurable Product",Default,001340-100,€64.99," -",,"Catalog, Search",Enabled,"Luxe Overhemden","Venti modern fit overhemden"," -",Kent,"Modern fit","Lange mouw (normaal)"," -",Strijkvrij,Katoen,"Zonder borstzak"," -"," -"," -"," -"," -","2020-08-27 19:22:42"
3861," -","Venti grijs ruit-44","Simple Product",Default,001340-750-44,€64.99,"Default Source: 1, Default Original: 0, Supplier Stock: 0","Default Stock: 1, Supplier Stock: 0","Not Visible Individually",Enabled,"Luxe Overhemden","Venti modern fit overhemden",44,Kent,"Modern fit","Lange mouw (normaal)",0,Strijkvrij,Katoen," -",4051233279745," -"," -"," -"," -","2020-08-27 21:20:15"
3862,https://luxeoverhemden.nl/pub/media/catalog/product/cache/5305a1c08aa32960237ca049a26b1613/0/0/001340-750-2-_overhemden-venti-modern-fit-geruit-zwart-wit-overhemd-100_-katoen-strijkvrij.jpg,"Venti grijs ruit","Configurable Product",Default,001340-750,€64.99," -",,"Catalog, Search",Enabled,"Luxe Overhemden","Venti modern fit overhemden"," -",Kent,"Modern fit","Lange mouw (normaal)"," -",Strijkvrij,Katoen,"Zonder borstzak"," -"," -"," -"," -"," -","2020-08-27 21:20:15"
3863," -","Venti bruin-44","Simple Product",Default,001480-201-44,€64.99,"Default Source: 1, Default Original: 0, Supplier Stock: 0","Default Stock: 1, Supplier Stock: 0","Not Visible Individually",Enabled,"Luxe Overhemden","Venti modern fit overhemden",44,Kent,"Modern fit","Lange mouw (normaal)"," -",Strijkvrij,Katoen," -",4053934667845," -"," -"," -"," -","2020-08-27 21:41:16"
3864,https://luxeoverhemden.nl/pub/media/catalog/product/cache/5305a1c08aa32960237ca049a26b1613/0/0/001480-201-2-overhemden-venti-modern-fit-rood-bruin-overhemd-100_-katoen-strijkvrij.jpg,"Venti bruin","Configurable Product",Default,001480-201,€64.99," -",,"Catalog, Search",Enabled,"Luxe Overhemden","Venti modern fit overhemden"," -",Kent,"Modern fit","Lange mouw (normaal)"," -",Strijkvrij,Katoen,"Zonder borstzak"," -"," -"," -"," -"," -","2020-08-27 21:41:17"
3865," -","Venti lichtgroen-36","Simple Product",Default,001480-304-36,€64.99,"Default Source: 1, Default Original: 0, Supplier Stock: 0","Default Stock: 1, Supplier Stock: 0","Not Visible Individually",Enabled,"Luxe Overhemden","Venti modern fit overhemden",36,Kent,"Modern fit","Lange mouw (normaal)"," -",Strijkvrij,Katoen,"Zonder borstzak",4051233817282," -"," -"," -"," -","2020-08-28 11:47:16"
3866," -","Venti lichtgroen-37","Simple Product",Default,001480-304-37,€64.99,"Default Source: 1, Default Original: 0, Supplier Stock: 0","Default Stock: 1, Supplier Stock: 0","Not Visible Individually",Enabled,"Luxe Overhemden","Venti modern fit overhemden",37,Kent,"Modern fit","Lange mouw (normaal)",0,Strijkvrij,Katoen,"Zonder borstzak",4051233817299," -"," -"," -"," -","2020-08-28 11:47:17"
3867," -","Venti lichtgroen-40","Simple Product",Default,001480-304-40,€64.99,"Default Source: 1, Default Original: 0, Supplier Stock: 0","Default Stock: 1, Supplier Stock: 0","Not Visible Individually",Enabled,"Luxe Overhemden","Venti modern fit overhemden",40,Kent,"Modern fit","Lange mouw (normaal)"," -",Strijkvrij,Katoen,"Zonder borstzak",4051233817329," -"," -"," -"," -","2020-08-28 11:47:17"
3868," -","Venti lichtgroen-43","Simple Product",Default,001480-304-43,€64.99,"Default Source: 1, Default Original: 0, Supplier Stock: 0","Default Stock: 1, Supplier Stock: 0","Not Visible Individually",Enabled,"Luxe Overhemden","Venti modern fit overhemden",43,Kent,"Modern fit","Lange mouw (normaal)"," -",Strijkvrij,Katoen,"Zonder borstzak",4051233817350," -"," -"," -"," -","2020-08-28 11:47:17"
