ArtikelNr,Size,Quantity
PP0H0A001,37,0
PP0H0A001,38,0
PP0H0A001,39,0
PP0H0A001,40,0
PP0H0A001,41,0
PP0H0A001,42,0
PP0H0A001,43,0
PP0H0A001,44,0
PP0H0A001,45,0
PP0H0A002,37,0
PP0H0A002,38,0
PP0H0A002,39,0
PP0H0A002,40,0
PP0H0A002,41,0
PP0H0A002,42,0
PP0H0A002,43,0
PP0H0A002,44,0
PP0H0A002,45,0
PP0H0A003,37,0
PP0H0A003,38,0
PP0H0A003,39,0
PP0H0A003,40,0
PP0H0A003,41,0
PP0H0A003,42,0
PP0H0A003,43,0
PP0H0A003,44,0
PP0H0A003,45,0
PP0H0A004,37,0
PP0H0A004,38,0
PP0H0A004,39,0
PP0H0A004,40,0
PP0H0A004,41,0
PP0H0A004,42,0
PP0H0A004,43,0
PP0H0A004,44,0
PP0H0A004,45,0
PP0H0A005,37,0
PP0H0A005,38,0
PP0H0A005,39,0
PP0H0A005,40,0
PP0H0A005,41,0
PP0H0A005,42,0
PP0H0A005,43,0
PP0H0A005,44,0
PP0H0A005,45,0
PP0H0A005,46,0
PP0H0A015,37,0
PP0H0A015,38,1
PP0H0A015,39,0
PP0H0A015,40,0
PP0H0A015,41,0
PP0H0A015,42,0
PP0H0A015,43,0
PP0H0A015,44,0
PP0H0A015,45,0
PP0H0A024,37,0
PP0H0A024,38,0
PP0H0A024,39,0
PP0H0A024,40,0
PP0H0A024,41,0
PP0H0A024,42,0
PP0H0A024,43,0
PP0H0A024,44,0
PP0H0A024,45,0
PP0H0A025,37,0
PP0H0A025,38,0
PP0H0A025,39,0
PP0H0A025,40,0
PP0H0A025,41,0
PP0H0A025,42,0
PP0H0A025,43,0
PP0H0A025,44,0
PP0H0A025,45,0
PP0H0A027,37,0
PP0H0A027,38,0
PP0H0A027,39,0
PP0H0A027,40,0
PP0H0A027,41,0
PP0H0A027,42,0
PP0H0A027,43,0
PP0H0A027,44,0
PP0H0A027,45,0
PP0H0A028,37,0
PP0H0A028,38,0
PP0H0A028,39,0
PP0H0A028,40,0
PP0H0A028,41,0
PP0H0A028,42,0
PP0H0A028,43,0
PP0H0A028,44,0
PP0H0A028,45,0
PP0H0A036,37,0
PP0H0A036,38,0
PP0H0A036,39,0
PP0H0A036,40,0
PP0H0A036,41,0
PP0H0A036,42,0
PP0H0A036,43,0
PP0H0A036,44,0
PP0H0A036,45,0
PP0H0C0006,20,0
PP0H0C0006,37,0
PP0H0C0006,38,0
PP0H0C0006,39,0
PP0H0C0006,40,0
PP0H0C0006,41,0
PP0H0C0006,42,0
PP0H0C0006,43,0
PP0H0C0006,44,0
PP0H0C0006,45,0
PP0H0C002,20,0
PP0H0C002,37,0
PP0H0C002,38,0
PP0H0C002,39,0
PP0H0C002,40,0
PP0H0C002,41,0
PP0H0C002,42,0
PP0H0C002,43,0
PP0H0C002,44,0
PP0H0C002,45,0
PP2D00001A,L,20
PP2D00001A,M,20
PP2D00001A,S,20
PP2D00001A,XL,20
PP2D00001A,XXL,20
PP2D00001B,L,20
PP2D00001B,M,20
PP2D00001B,S,20
PP2D00001B,XL,20
PP2D00001B,XXL,20
PP2D00001C,L,20
PP2D00001C,M,20
PP2D00001C,S,20
PP2D00001C,XL,20
PP2D00001C,XXL,20
PP2D00001D,L,20
PP2D00001D,M,20
PP2D00001D,S,20
PP2D00001D,XL,20
PP2D00001D,XXL,20
PP2H00001A,37,1
PP2H00001A,38,19
PP2H00001A,39,0
PP2H00001A,40,0
PP2H00001A,41,0
PP2H00001A,42,0
PP2H00001A,43,0
PP2H00001A,44,0
PP2H00001A,45,0
PP2H00001B,37,20
PP2H00001B,38,20
PP2H00001B,39,20
PP2H00001B,40,11
PP2H00001B,41,0
PP2H00001B,42,0
PP2H00001B,43,0
PP2H00001B,44,0
PP2H00001B,45,0
PP2H00001C,37,20
PP2H00001C,38,20
PP2H00001C,39,20
PP2H00001C,40,20
PP2H00001C,41,20
PP2H00001C,42,3
PP2H00001C,43,0
PP2H00001C,44,0
PP2H00001C,45,0
PP2H00001D,37,0
PP2H00001D,38,0
PP2H00001D,39,20
PP2H00001D,40,4
PP2H00001D,41,0
PP2H00001D,42,1
PP2H00001D,43,0
PP2H00001D,44,1
PP2H00001D,45,0
PP2H00002A,37,0
PP2H00002A,38,0
PP2H00002A,39,0
PP2H00002A,40,0
PP2H00002A,41,0
PP2H00002A,42,0
PP2H00002A,43,0
PP2H00002A,44,0
PP2H00002A,45,0
PP2H00003A,37,0
PP2H00003A,38,0
PP2H00003A,39,0
PP2H00003A,40,0
PP2H00003A,41,0
PP2H00003A,42,0
PP2H00003A,43,0
PP2H00003A,44,0
PP2H00003A,45,0
PP2H00005A,37,4
PP2H00005A,38,20
PP2H00005A,39,20
PP2H00005A,40,20
PP2H00005A,41,20
PP2H00005A,42,20
PP2H00005A,43,20
PP2H00005A,44,20
PP2H00005A,45,20
PP2H00005B,37,5
PP2H00005B,38,20
PP2H00005B,39,20
