ArtikelNr,Size,Quantity
PP2H00008A,37,0
PP2H00008A,38,0
PP2H00008A,39,0
PP2H00008A,40,0
PP2H00008A,41,0
PP2H00008A,42,0
PP2H00008A,43,0
PP2H00008A,44,0
PP2H00008A,45,0
PP2H00008B,37,0
PP2H00008B,38,70
PP2H00008B,39,99
PP2H00008B,40,99
PP2H00008B,41,99
PP2H00008B,42,99
PP2H00008B,43,83
PP2H00008B,44,45
PP2H00008B,45,8
PP2H00009A,37,0
PP2H00009A,38,0
PP2H00009A,39,0
PP2H00009A,40,0
PP2H00009A,41,0
PP2H00009A,42,0
PP2H00009A,43,0
PP2H00009A,44,0
PP2H00009A,45,0
PP2H00009B,37,0
PP2H00009B,38,0
PP2H00009B,39,0
PP2H00009B,40,0
PP2H00009B,41,0
PP2H00009B,42,0
PP2H00009B,43,0
PP2H00009B,44,0
PP2H00009B,45,0
PP2HC10006,37,99
PP2HC10006,38,99
PP2HC10006,39,99
PP2HC10006,40,99
PP2HC10006,41,99
PP2HC10006,42,99
PP2HC10006,43,99
PP2HC10006,44,99
PP2HC10006,45,0
PP2HC10008,37,83
PP2HC10008,38,99
PP2HC10008,39,99
PP2HC10008,40,99
PP2HC10008,41,99
PP2HC10008,42,99
PP2HC10008,43,99
PP2HC10008,44,73
PP2HC10008,45,35
PP2HC10009,37,99
PP2HC10009,38,99
PP2HC10009,39,99
PP2HC10009,40,99
PP2HC10009,41,99
PP2HC10009,42,99
PP2HC10009,43,99
PP2HC10009,44,99
PP2HC10009,45,16
PP2HC10010,37,99
PP2HC10010,38,99
PP2HC10010,39,99
PP2HC10010,40,99
PP2HC10010,41,99
PP2HC10010,42,0
PP2HC10010,43,0
PP2HC10010,44,0
PP2HC10010,45,0
PP2HC10011,37,70
PP2HC10011,38,99
PP2HC10011,39,99
PP2HC10011,40,99
PP2HC10011,41,99
PP2HC10011,42,99
PP2HC10011,43,99
PP2HC10011,44,0
PP2HC10011,45,0
PP2HC10012,37,66
PP2HC10012,38,99
PP2HC10012,39,99
PP2HC10012,40,99
PP2HC10012,41,99
PP2HC10012,42,99
PP2HC10012,43,99
